estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,1,15,2874244.2937,-5675803.0624,-451414.5032,0.3260,0.8508,0.0909,,0.2334,-0.2637,0.2514
AMCR,1,30,2874244.3901,-5675803.3693,-451414.5258,0.1934,0.4938,0.0446,,0.1753,-0.3388,0.4649
AMCR,1,45,2874244.4507,-5675803.3626,-451414.5359,0.1274,0.2586,0.0282,,0.3959,-0.1330,0.5859
AMCR,1,60,2874244.4238,-5675803.3328,-451414.5351,0.0727,0.1264,0.0178,,0.4889,0.0755,0.6300
AMCR,1,120,2874244.4336,-5675803.2797,-451414.5355,0.0243,0.0286,0.0071,,0.0319,0.1830,0.5351
AMCR,2,15,2874244.2821,-5675803.2520,-451414.5574,0.3352,0.2984,0.1064,,0.0586,-0.4525,0.2677
AMCR,2,30,2874244.4044,-5675803.2443,-451414.5425,0.1425,0.1292,0.0380,,-0.1276,-0.3244,0.3638
AMCR,2,45,2874244.4690,-5675803.2664,-451414.5462,0.0715,0.0795,0.0232,,0.0273,-0.2232,0.2968
AMCR,2,60,2874244.4570,-5675803.2657,-451414.5422,0.0444,0.0612,0.0163,,0.1273,-0.1557,0.3188
AMCR,2,120,2874244.4435,-5675803.2711,-451414.5367,0.0186,0.0274,0.0081,,0.1886,0.0712,0.6303
AMCR,3,15,2874244.6379,-5675803.0537,-451414.4930,0.3014,0.3147,0.0864,,0.0349,-0.2137,0.3470
AMCR,3,30,2874244.6278,-5675803.0680,-451414.5244,0.1259,0.1447,0.0340,,0.0058,-0.1370,0.3994
AMCR,3,45,2874244.6133,-5675803.1225,-451414.5499,0.0661,0.0848,0.0196,,0.1103,-0.0401,0.4564
AMCR,3,60,2874244.5742,-5675803.1361,-451414.5566,0.0418,0.0617,0.0135,,0.1440,0.0483,0.4806
AMCR,3,120,2874244.4880,-5675803.2705,-451414.5423,0.0190,0.0244,0.0072,,0.1777,0.1793,0.6046
